,SP500,CSUSHPISA,INTDSRUSM193N,HSN1F,USSTHPI,M2,ICSA
SP500,1.0,0.984673984463675,-0.19134991373747226,0.764952117165238,0.9779294929299329,0.9485837329427684,0.11783610066732128
CSUSHPISA,0.984673984463675,1.0,-0.17627857657368373,0.764866028326506,0.9958126591257485,0.9581122520253099,0.17223351617773708
INTDSRUSM193N,-0.19134991373747226,-0.17627857657368373,1.0,-0.11284457911587079,-0.13241361550312644,-0.2885090373012164,-0.3283460945708685
HSN1F,0.764952117165238,0.764866028326506,-0.11284457911587079,1.0,0.7789253886768257,0.8608081806722114,0.22203504162064905
USSTHPI,0.9779294929299329,0.9958126591257485,-0.13241361550312644,0.7789253886768257,1.0,0.9571878062566025,0.18926359315384017
M2,0.9485837329427684,0.9581122520253099,-0.2885090373012164,0.8608081806722114,0.9571878062566025,1.0,0.3092792072139116
ICSA,0.11783610066732128,0.17223351617773708,-0.3283460945708685,0.22203504162064905,0.18926359315384017,0.3092792072139116,1.0
